Episode,Start Time,End Time,Speaker,Transcript,Notes
2,00:00:13,00:00:26,Haupt­bootsmann Loose,"Wir gehen mal rein. Dann haben wir hier unseren ersten Tisch, unseren Sichtungstisch. Hier kontrollieren wir erstmal die ganzen Sachen, die sie mitgebracht haben, wie schon alleine die Einberufung, den Ausweis. Gucken, ob sie bei uns richtig sind. Kann natürlich auch sein, dass sie sich verlaufen haben, aufgeregt wie sie sind.",
2,00:00:26,00:00:29,Empfangssoldatin,"Nein, Sie bleiben nicht hier.",
2,00:00:30,00:00:34,Rekrut3,Gut. Ne alles klar. ,
2,00:00:35,00:00:35,Empfangssoldat1,Hier ab und aufstellen wir uns.,
2,00:00:44,00:00:48,Empfangssoldat2,Dann können sie ganz da unten langgehen und zweite Tür auf der rechten Seite ins Geschäftzimmer kommen.,
2,00:00:48,00:00:48,Rekrut4,Alles klar.,
2,00:00:49,00:00:51,Empfangssoldat2,Viel Spaß. Und den anderen hier auf der anderen Seite.,
2,00:00:59,00:01:03,Empfangssoldat2,"Naja, es ist Ja es steht ja da eindeutig draußen an der Tür dran, das ist hier einfach so.",
2,00:01:04,00:01:05,Julia Weißhuhn,Ja ich mach das dann noch raus.,
2,00:01:04,00:01:05,Empfangssoldat2,"Das wäre gut, wenn sie das heute noch machen.",
2,00:01:06,00:01:06,Kameramann,Sehr schlimm für dich?,
2,00:01:10,00:01:16,Julia Weißhuhn,"Ich habe mich von meinem Freund getrennt, darum habe ich mir das stechen lassen. Ich kriege es nicht raus. Ich krieg das da Oben doch nicht raus.",
2,00:01:17,00:01:31,Haupt­bootsmann Loose,"An der Linie sollen die sich einfach bloß aufreiten. Sich hier ordentlich hinstellen ja und dann ordentlich anklopfen. Und viele schaffen es einfach nicht. Die rennen einfach los und sagen Hallo, hier bin ich. Das gibt es aber nicht. Es gibt zwei verschiedene Arten, diese Linie zu übertreten. Eine richtige und eine falsche.",
2,00:01:48,00:01:49,Lukas Keitel,Alles klar.,
2,00:01:49,00:01:50,Empfangssoldat3,"Nicht alles klar, sondern?",
2,00:01:50,00:01:50,Lukas Keitel,Jawohl.,
2,00:02:01,00:02:01,Empfangssoldat3,Herein.,
2,00:02:04,00:02:18,Haupt­bootsmann Loose,"Wenn wir das geschafft haben, kommen sie zu uns nach oben. Wenn wir dann oben sind, haben wir den zweiten Tisch, wo sie dann ihr Kojenzeug bekommen und ihre Stube zugewiesen. Und natürlich schon, damit sie ein bisschen Anschauungsmaterial haben, auch schon einen Spind, den wir vorbereiten.",
2,00:02:22,00:02:24,Jerome Demelius,Wird gelernt. Krieg ich hin.,
2,00:02:24,00:02:24,Empfangssoldat4,Jerome.,
2,00:02:24,00:02:26,Jerome Demelius,Richtig. ,
2,00:02:26,00:02:38,Empfangssoldat4,"Gut. So bekommen Sie ein Mal den Bettbezug und das Laken. Bettbezug, Bettlaken. Kopfkissenbezug. Kopfkissenbezug. Kopfkissenbezug. Ein Handtuch. Sind sie FWDLer oder SAZ? ",
2,00:02:39,00:02:40,Jerome Demelius,SAZ. ,
2,00:02:41,00:02:41,Empfangssoldat4,SAZ oder FWDLer? ,
2,00:02:41,00:02:41,Nathan Palme,Äh FWDLer.,
