Episode,Start Timecode,End Timecode,Speaker,Transcript,Notes
19,00:00:12.10,00:00:16.10,Jerome Demelius,"Moin, alles fit bei euch? Bei euch bei uns auch.",
19,00:00:16.13,00:00:18.09,Patrick Döring,Kevin wo ist deine Wasserflasche?,
19,00:00:18.09,00:00:19.10,Kevin-Jack Baumann,Müssen wir die voll machen?,
19,00:00:19.10,00:00:21.03,Patrick Döring,"Ja! Komm her, Arme durch.",
19,00:00:21.03,00:00:24.08,Kevin-Jack Baumann,Also ich wollte noch ne Runde schlafen.,
19,00:00:24.08,00:00:28.16,Patrick Döring,"Mein Gott. Schnarchnasen ohne Ende kommt nicht aus dem Arsch, das ist zum Kotzen. ",
19,00:00:28.23,00:00:34.06,Leon von Garrel,"Ja mal mit Gewehr bewegen. Liegestütz. Sport, sowas denkbar.",
19,00:00:36.03,00:00:40.21,Hauptbootsmann Mahr,"Blick zu mir. Erste und zwote Gruppe, die werden jetzt gleich empfangen. Ihre Waffen. ",
19,00:00:41.01,00:00:52.08,Jerome Demelius,"Endeffekt müssen wir halt damit umgehen können, falls mal irgendwas passiert. Wir hoffen natürlich alle, dass das nie so weit kommt, dass wir diese Waffe so genau einsetzen müssen, wofür sie eigentlich gedacht ist.",
19,00:00:53.18,00:00:55.20,Daniel Wittwer,"Schon ne Waffenausbildung. Zerlegen, zusammensetzen. Gehe ich mal stark von aus.",
19,00:00:55.24,00:00:57.12,Jerome Demelius,Natürlich nicht geladen.,
19,00:00:57.20,00:01:13.18,Obermaat Scholwin,"Ja, die Rekruten werden Insofern darauf vorbereitet, dass wir von Anfang an den Rekruten beibringen, dass sie mit einer Waffe hantieren, die gegebenenfalls auch über Leben entscheiden kann und dass es niemals als leichtfertig oder so was abgetan werden kann und darf.",
19,00:01:14.03,00:01:32.05,Obermaat Scholwin,"Die nächsten zwo. Hinter die große rote Linie auf dem Boden, hinter die rote Linie, hinter die rote Linie, hinter die rote Linie, zum vierten Mal und raus. Die nächsten zwo.",
19,00:01:32.16,00:01:41.08,Julia Weißhuhn,"Das erste Mal eine Waffe in der Hand zu halten, war auf jeden Fall aufregend, weil es steckt ja, auch wenn sie nicht geladen ist, ne große Verantwortung dahinter.",
19,00:01:51.08,00:02:01.05,Lukas Keitel,"Es ist schon, hat man schon Respekt vor den Dingern. Die sehen jetzt vielleicht ohne Kugeln und so was ist vielleicht nicht ganz so gefährlich, aber trotzdem sind die Dinger net ohne.",
19,00:02:02.06,00:02:19.21,Jerome Demelius,"Ja, wie fühlt sich das an, das erste Mal eine Waffe in der Hand zu halten? Im ersten Moment ein bisschen komisch, wenn ich ehrlich bin, weil man natürlich trotz Ausbildung es gehört ja auch so dazu, muss man einfach sagen zum Beruf Soldat gehört einfach der Umgang mit der Waffe dazu und die Ausbildung dazu.",
19,00:02:20.13,00:02:36.19,Hauptbootsmann Mahr,"So, dann richten Sie sich mal vernünftig aus. Dass die Matten alle auf einer Höhe liegen, sollte nicht so schwierig sein. Weiter allgemeine Sicherheitsvorschriften eine Waffe ist immer als geladen zu betrachten. Warum? Weil die meisten Schießunfälle mit vermeintlich ungeladene Waffen passieren.",
19,00:02:36.23,00:02:50.07,Obermaat Scholwin,"Und deswegen bekommen sie auch die Sicherheitsregeln, dass zum Beispiel die Waffe immer als geladen betrachtet sein muss. Niemals irgendwohin zielen, wo es Querschläger geben könnte bzw. wo sie sich nicht sicher sind, dass sie da irgendwie Schaden anrichten können.",
19,00:02:50.11,00:03:01.14,Hauptbootsmann Mahr,"Sicherheitsregel Nummer zwo sagt Eine Waffe ist nicht auf etwas zu richten, was ich nicht treffen möchte. Sie sollen Mündungsbewusstsein entwickeln. Sie schwenken keine Kameraden ab, keine Richtung-Ziel-Übung. Soweit verstanden?",
19,00:03:01.14,00:03:01.14,Alle,Jawohl.,
19,00:03:02.15,00:03:18.06,Daniel Wittwer,"Das ist eigentlich logischer Menschenverstand sein. Jeder der weiß, also der sich hierfür bewirbt oder zur Bundeswehr geht, der sollte auch wissen wie gesagt kein Spielzeug ist, sondern wirklich ne echte Waffe ist, auch wenn sie halt ungeladen ist oder selbst wenn da nur Platzpatronen oder sowas drin sind. Selbst das reicht schon um Menschen zu verletzen.",
19,00:03:18.09,00:03:25.18,Hauptbootsmann Mahr,"Der Abzugsfinger geht erst dann an den Abzug wenn die Visiereinrichtung, sprich das hier, das Reflexvisier oder das Zielfernrohr im Ziel ist.",
19,00:03:25.23,00:03:45.24,Marvin Baunach,"Dementsprechend viel Verantwortung, weil da ist eine Fingerbewegung tot oder lebendig nä und das ist schon nichts womit man spaßen sollte. Und ja man denkt immer daran, was ist mal wenn man das Ding wirklich benutzen muss. Hofft natürlich, dass man es nicht benutzen muss. Ich selber hoffe auch, dass ich sie nie benutzen muss, außer hier zu Trainingszwecken.",
19,00:03:46.04,00:03:55.23,Hauptbootsmann Mahr,"Man muss sich seines Zieles sicher sein. Also wenn sie irgendwann dann abkrümmen müssen, müssen sie rechnen mit Querschlägern, Fehlschlüssen, Durchschüssen.",
19,00:03:56.11,00:04:03.24,Obermaat Scholwin,"Die halt wirklich mit einer Kriegswaffe, die halt auch im Krieg leider benutzt wird. Und ähm das müssen Sie sich von Anfang an bewusst sein.",
19,00:04:03.24,00:04:11.03,Hauptbootsmann Mahr,"Weil wenn sie durch die Visiereinrichtung den Gegner optisch haben, abkrümmen. Meistens ist der dann tot. Auch das darf man nicht vernachlässigen.",
19,00:04:11.15,00:04:29.01,Lukas Keitel,"Aber das sind halt auch Sachen, wo man sich vorher bewusst darüber sein muss. Ähm aber andererseits wäre ich nicht, wenn man dazu nicht so damit muss man rechnen wenn man zur Bundeswehr kommt. Also das ist ja was. Das ist ja klar, wenn man Soldat wird. Also dass man mit Waffen umgehen muss, dass man die beherrschen muss.",
19,00:04:30.01,00:04:35.06,Hauptbootsmann Mahr,"Jetzt alle die Waffen aufnehmen. Sollte also eigentlich schon geläufig sein, wie sie die Waffe umhängen. Richtig?",
19,00:04:35.06,00:04:35.06,Alle,Jawohl.,
