Episode,Start Timecode,End Timecode,Speaker,Transcript,Notes
48,00:00:12.93,00:00:23.40,Hauptbootsmann Peterson,"Schönen guten Morgen! Wir haben es jetzt genau vier Uhr fünfzig. Ich habe die ehrenvolle Aufgabe, die Rekruten heute zu wecken. Das heißt, wir werden es gleich nach alter Marine-Tradition so machen, dass ich sie erst locke.",
48,00:00:23.82,00:00:30.27,Hauptbootsmann Peterson,"Wir haben ein Lockruf und dann werden wir sie wecken mit einem ganz normalen traditionellen Reise Reise Aufstehen, so wie es bei der Marine üblich ist.",
48,00:00:37.40,00:01:04.41,Hauptbootsmann Peterson,"Reise, Reise, Aufstehen. Reise, Reise Aufstehen. Reise, Reise, Reise, Reise Aufstehen. So jetzt muss man halt schauen, dass man jeden geweckt kriegt, das ich kein vergessen hab zu wecken. Aufstehen, aufstehen, aufstehen, aufstehen.",
48,00:01:05.03,00:01:07.77,Lukas Keitel,Also es wird immer so geweckt wie auf dem Schiff anscheinend.,
48,00:01:07.86,00:01:11.88,Matrosin Schang,"Die erst mal haben wir uns eh gefragt, was ruft der da überhaupt? Weil wir es nicht verstanden haben. ",
48,00:01:11.88,00:01:21.03,Dominik Möning,"Ob man sich dran gewöhnt? Ja, auf jeden Fall. Man gewöhnt sich so was von daran, schlafen kann man danach eh nicht mehr, wenn man einmal wach ist.",
48,00:01:21.29,00:01:38.22,Obermaat Scholwin,"Ja, heute machen wir wieder die Ausbildung im Schießsimulator, heute speziell P8. Das Schwierige ist, dass die Handhabung mit der Pistole etwas komplizierter ist als mit dem Gewehr. Das Gewehr lässt sich leichter stützen bei der Schussabgabe. Da haben einige doch mehr Probleme als mit dem Gewehr.",
48,00:01:38.82,00:01:45.30,Matrosin Schang,"Mal schauen wie es wird, weil harter Abzug und so. Da haben einige mit Probleme den Abzukrümmen, unter anderem auch ich mit einem Finger.",
48,00:01:45.81,00:02:00.62,Hauptbootsmann Mahr,"Wer das nicht besteht, wird nächste Woche nicht zugelassen. Wer nächste Woche nicht schießt, hat keine WachATN, hat die Grundausbildung nicht bestanden. Ganz einfach. Grundlagen Übung 1 Pistole wird geschossen auf jeweils 2 Entfernungen 5 Meter 10 Meter. Das soweit verstanden? ",
48,00:02:00.62,00:04:11.21,Alle,Jawohl.,
48,00:02:00.62,00:02:13.92,Hauptbootsmann Mahr,"Auf 5 Meter Kästchen treffen. Auf 10 Meter haben Sie die komplette Bravo Zone zur Verfügung. 5 Schuss mit weichem Abzug. Das heißt, sie werden beim ersten Schießen den Hahn hinten vorspannen.",
48,00:02:17.61,00:02:32.71,Hauptbootsmann Mahr,"Auch hier PSK abarbeiten Sicherung, fester Sitz Magazin, eine simulierte Lagekontrolle, Visiereinrichtung, über s entspannen, auf F stellen, Daumen rauf, Polstern, schnelle Feuerbereitschaft. Feuer.",
48,00:02:37.29,00:02:40.03,Obermaat Scholwin,Übungsende.,
48,00:02:40.03,00:03:02.52,Hauptbootsmann Mahr,"Bahn eins ein Ziel links, linkes oberes Kästchen, Kontaktstellung, Waffe Vorspannen 5 Schuss 1 zu Feuer auf Kommando. Feuer. Feuer. Feuer. Jetzt mit hartem Abzug. 5 Schuss Einzelfeuer auf Kommando. Feuer. Übung Ende.",
48,00:03:03.78,00:03:12.58,Matrose Martin,"Anspruchsvoller als das Gewehr auf jeden Fall, weil die Pistole viel mehr auf Zittern und sowas reagiert. Man muss wirklich langsam abdrücken und den Schuss kommen lassen.",
48,00:03:12.60,00:03:20.94,Hauptbootsmann Mahr,"Ein Ziel links rechtes oberes Kästchen. Aber langsam langsam. Zielen. Bahn zwo, Kontaktstellung, Feuer.",
48,00:03:27.06,00:03:40.83,Jerome Demelius,"Der weiche Abzug der kommt richtig schnell den checkst du gar nicht, dass er so schnell kommt. Du drückst, bist gerade am Drücken, dann schießt sie schon und der harte Abzug. Da wartest du erst mal, wartest erst und fragst dich wann kommt der und dann kommt der auf einmal. ",
48,00:03:40.83,00:03:47.11,Hauptbootsmann Mahr,Ein Ziel links. Kontaktstellung. Feuer.,
48,00:03:51.66,00:04:04.46,Obermaat Scholwin,"So, jetzt mit hartem Abzug, Bahn eins bis drei, ein Ziel rechts und Kontakstellung. Feuer. Die Waffen ablegen.",
48,00:04:06.29,00:04:11.21,Lukas Keitel,"Ich war ziemlich nervös und muss sagen, ich bin mit meinem Ergebnis sowas von zufrieden.",
48,00:04:11.36,00:04:15.77,Matrosin Schang,"G8 ist nochmal schwerer, ich kriege den Abzug mit einer Hand nicht alleine hin, den harten.",
48,00:04:16.23,00:04:17.51,Daniel Wittwer,Ganz ruhig. Nicht so viel verrückt machen.,
48,00:04:20.00,00:04:29.08,Obermaat Scholwin,Feuer. Feuer. ,
48,00:04:29.08,00:04:50.70,Hauptbootsmann Mahr,"Jetzt, zuhören jetzt wieder weicher Abzug sie haben die komplette Bravo Zone zur Verfügung. Feuer. Linkes oberes Kästchen, Kontaktstellung. Beide Hände sind an der Waffe, Arme durchgestreckt, Füße Schulterbreit auseinander. Wie stehen Sie da? Feuer. Übungsende.",
48,00:04:51.29,00:05:05.94,Jerome Demelius,"Ihr seht ich stehe jetzt hier und habe dann auch mal bestanden. Es kommt ja immer auf die Distanz an ne und wenn man zum Beispiel mit der G36 in die Mitte schießen will, also genau in die Bravozone, muss man halt ein bisschen höher ansetzen, damit der Schuss dann auch in der Mitte trifft.",
48,00:05:06.15,00:05:10.23,Matrosin Schang,"Ich fand es jetzt schon schwerer als das G36. Auf jeden Fall. Ich bin froh, dass ich bestanden habe.",
48,00:05:11.19,00:05:23.09,Jerome Demelius,"Ja, fünf Meter war schwieriger als zehn Meter. Einfach aus dem Grund, dass man bei fünf Meter einen bestimmten Bereich treffen musste und bei 10 Meter halt die komplette Bravo Zone für sich hatte. ",
48,00:05:23.09,00:05:28.71,Anne-Lena Drafke,"Ich hab immer noch Respekt davor. Es ist jetzt ein bisschen entspannter, weil ich weiß, dass ich bestanden habe. Ich war voll aufgeregt.",
48,00:05:29.28,00:05:39.30,Hauptbootsmann Peterson,"Jedes Mal, wenn sie die Schussabgabe getätigt haben und in der Kontaktstelle sind, machen sie das selbstständig. Über s spannen und entsichern, harten Abzug herstellen, Feuer.",
48,00:05:44.37,00:05:53.16,Dominik Möning,"Nur den ersten haben wir verrissen . Also ich habe es immer so gemacht, ich habe zweimal ein und ausgeatmet zwischen den Schüssen. Das dient auch noch der Stabilisierung. Also ich bin auf jeden Fall zufrieden mit mir.",
48,00:05:53.28,00:05:59.76,Marvin Baunach,Ich habe beide Prüfungen noch bestanden. Ich mag das mit hartem Abzug nicht. Ich habe nicht genug Kraft im Finger. ,
48,00:06:00.18,00:06:08.25,Hauptbootsmann Mahr,Das Pflichtprogramm ist geschafft. Das wurde heute Vormittag komplett erledigt. Also mit der Gruppe bin ich persönlich eigentlich zufrieden. Also alles weitere wird sich erst zeigen nächste Woche.,
48,00:06:08.34,00:06:18.15,Lukas Keitel,"Wir haben es alle bestanden. Wir dürfen alle auf den Schießstand. Da sind wir alle schon ziemlich froh. Also es gab so zwei, drei Ausreißer, die hätten echt besser laufen können. Aber insgesamt bin ich echt zufrieden mit meiner Leistung.",
48,00:06:23.15,00:06:39.78,Hauptbootsmann Mahr,"Wir werden ne Runde laufen gehen. Was für die Ausdauer tun. Also wenn ich laufen gehe 60 Minuten, werde ich nicht mehr warm. Erst mal Zähne zusammenbeißen. 60 Minuten. Danach soll es das gewesen sein.",
48,00:06:39.78,00:06:43.31,Marcel Figule,"Och ja, knackiger Lauf, eine Stunde.",
48,00:06:48.47,00:06:53.86,Jerome Demelius,Nen Viertel haben wir jetzt durch 15 20 Minuten laufen wir jetzt ungefähr. ,
48,00:06:53.86,00:06:58.06,Hauptbootsmann Mahr,"Wenn es weh tut, tut es weh, wenn man heulen muss, dann wird jetzt geheult. Ist mir egal, aber wir halten nicht an.",
48,00:06:58.36,00:07:03.43,Marvin Baunach,Vor einem halben Jahr hätt mich keiner 10 Minuten durch die Gegend bewegt.,
48,00:07:03.43,00:07:19.36,Hauptbootsmann Mahr,"60 Minuten durchlaufen am Stück sind geschafft und was ich gut finde: Alle haben mitgezogen, alle haben durchgezogen. ",
48,00:07:19.36,00:07:20.83,Matrosin Schang,"Geschafft. War ganz einfach, also ich fand's einfach.",
48,00:07:20.83,00:07:24.85,Sebastian Arendt,Der Teamgeist hat gezählt und das war spitze. Und das war gut.,
48,00:07:25.15,00:07:26.11,Marcel Figule,Besser kann es nicht sein.,
48,00:07:28.59,00:07:35.67,Hauptbootsmann Mahr,War eine gute Leistung! War ich doch positiv überrascht.,
48,00:07:36.07,00:07:37.59,Dominik Möning,Yes. ,
48,00:07:37.59,00:07:48.06,Leon von Garrel,"Heute war Schießen und Laufen für eine Stunde. Wenn ihr sehen wollt, ob wir noch mal mehr laufen, dann solltet ihr auf jeden Fall morgen wieder einschalten bei die Rekruten auch auf Facebook, YouTube und sonst wo ihr uns findet.",
48,00:07:48.27,00:07:49.12,Marvin Baunach,Und hier deine zwei Ohrstäbchen.,
48,00:07:49.44,00:07:51.54,Leon von Garrel,"Supi, adios.",
