Episode,Start Timecode,End Timecode,Speaker,Transcript,Notes
22,00:00:11.97,00:00:25.29,Obermaat Scholwin,"Wir bereiten jetzt mal für die Ausbildung so ein bisschen Ausbildungs äh Anschauungsmittel vor. Daneben im Feld mal so ein paar Zeltbahnen aufbauen, in denen die Rekruten mal zu verdeutlichen, wie das dann im Feld aussehen kann.",
22,00:00:27.84,00:00:29.85,Hauptbootsmann Mahr,"Gehen, Laufen, Geht nicht gibts nicht.",
22,00:00:40.96,00:00:50.09,Obermaat Scholwin,"Das Zwo-Mann-Zelt bauen wir hier auf zwischen die Bäume und das Ein-Mann-Zelt, machen wir da so ein bisschen an der Böschung.",
22,00:00:50.09,00:00:57.30,Hauptbootsmann Mahr,Alle. Ausgangsposition Liegestütz.,
22,00:00:59.10,00:01:12.87,Obermaat Scholwin,"Meine Erinnerung? Also meine Zeit damals, als ich an in meiner Grundausbildung in diesem Zelt geschlafen habe, da war es sehr kalt und ich habe es mal aufgebaut ja, in meiner Grundausbildung lange sehr. Drinn geschlafen habe ich nicht viel.",
22,00:01:12.87,00:01:19.89,Alle,"Mehr! Mehr, mehr, mehr, mehr, mehr, mehr.",
22,00:01:21.84,00:01:23.03,Obermaat Scholwin,Was machst denn du jetzt hier?,
22,00:01:23.04,00:01:24.78,Stabs­gefreiter Neubert,Ich wollte euch die ganze Rolle klauen.,
22,00:01:24.78,00:01:26.79,Obermaat Scholwin,Wo bist du denn?,
22,00:01:26.79,00:01:41.45,Stabs­gefreiter Neubert,"Wenn ich dir das jetzt sage, ne. Du andere Zahlen, dafür viel Geld. Und wir dürfen das hier machen. Ich bin gern im Wald, ich bin auch gern im Biwak. Das ist mein Ding. Ist nur noch ein bisschen zu warm dafür, könnte ruhig noch mal an die Null Grad sein. Das macht Spaß. Also mir macht das Spaß.",
22,00:01:49.09,00:01:52.36,Julia Weißhuhn,Jetzt get's hier durch den Wald. Jetzt wirklich wie in der Kindheit. ,
22,00:01:52.72,00:02:23.32,Hauptbootsmann Mahr,"Leben im Felde, sprich Feldbau. Zeltplan, da kann man viele, viele schöne Sachen machen. Einmal ganz klassisch umgangssprachlich die Dackel-Garage, Zwo-Mann-Zelt. Jeder hat eine, wird zusammen geknüpft und nun hat man hier nur eine ganz ganz tolle Behausung. Nichtsdestotrotz kann man auch mit der Zeltplane auch sich behelfen, wenn's nicht anders geht. Sich einfach nur einen Windschutz bauen. Sogenanntes schräg Dach. So viel dazu. Also das werden wir jetzt anfangen.",
22,00:02:23.95,00:02:27.82,Julia Weißhuhn,"Also wir tun jetzt uns ein Mal Anschauen, wie das mit dem Zeltbau geht. Und dann müssen wir das sauber nachmachen.",
22,00:02:28.37,00:02:46.09,Hauptbootsmann Mahr,Jetzt wird als erster Schritt wird die Zeltplane zusammen geknüpft. Wer das verstanden hat das Prinzip Ausführung ziemlich zügig.,
22,00:02:46.09,00:02:52.36,Anna-Lena Drafke,So.,
22,00:02:52.36,00:02:56.52,Unbekannter Rekrut,Hier gibt's den Knopf irgendwie nicht. ,
22,00:02:56.52,00:03:00.19,Anna-Lena Drafke,Ist das sein Ernst?,
22,00:03:02.22,00:03:21.37,Hauptbootsmann Mahr,"Jetzt kommt die die Königsdisziplin, sozusagen die Tampen zum Abspannen. Also sprich wir brauchen zwei Ösen beim spannt das mal provisorisch ab und dann richtet man das noch mal nach zum Schluss. Wichtiger ist bei so einem Zelt, es muss straff sein. Zeitansatz 10 Minuten. Dann steht das Zelt. ",
