Episode,Start Timecode,End Timecode,Speaker,Transcript,Notes
28,00:00:00.18,00:00:04.71,Jerome Demelius,"Jetzt geht es los hier, der erste Schritt auf ein Schiff hier.",
28,00:00:04.71,00:00:06.24,Marcel Figule,"Aufpassen, dass man nicht verbrennt.",
28,00:00:18.68,00:00:29.03,Jerome Demelius,"So Leute. Neuer Tag ist angebrochen, Schadensabwehr steht drauf, steht jetzt an. Ich bin gespannt, wie es wird, was vorkommt. Wir huschen jetzt glaube ich erst mal rüber zum Unterricht.",
28,00:00:30.08,00:00:45.80,Oberbootsmann Müller,"Nicht Äh, nicht öh, nicht uh oder sonstiges, sondern Befehl, Meldung, Frage, Vorschlag. Diese 4 Wörter eine wesentliche Grundlage für eine effektive Schadensabwehrgefechtsführung und ich will da keine Verwechslungen haben. Was wieder vergessen?",
28,00:00:48.09,00:01:09.18,Oberbootsmann Müller,"Alarmklingel? Ring Ring Ring Ring, Ring Ring, hochdeutsche Aussprache. Klar. Gut, ich bin Sachse. Ich hab mir halbwegs abgewöhnt, versuchen Sie diesen bayrischen oder Schwaben Dialekt oder wo auch immer Sie herkommen abzulegen. Wir machen heute Nachmittag Praxis ganz viel Praxis, das heißt umziehen. Hauptsache Sie sind heut nachmittag nach dem Mittagessen in BGA umgezogen.",
28,00:01:10.11,00:01:11.56,Lukas Keitel,"Ja, das Boot!",
28,00:01:12.01,00:01:15.30,Jerome Demelius,Das sieht doch sexy aus hier! Heftig.,
28,00:01:15.30,00:01:18.29,Anna-Lena Drafke,"Mich umziehen, weil wir aufs Schiff gehen. ",
28,00:01:18.29,00:01:20.79,Julia Weißhuhn,"Die Hose sieht überhaupt nicht zu eng aus, oder?",
28,00:01:20.79,00:01:24.48,Leon von Garrel,Sein BGA fertig zum anziehen. Also Boardgefechtsanzug.,
28,00:01:24.48,00:01:28.62,Lukas Keitel,"Ich bin voll aufgerieben und mir gehts. Nein, ich finde es echt voll geil. Ich freu mich voll drauf.",
28,00:01:28.62,00:01:32.25,Anna-Lena Drafke,Wir haben jetzt Praxis Unterricht der Schiffssicherung.,
28,00:01:32.25,00:01:33.69,Leon von Garrel,Wir gehen aufs Schiff! Juhu!,
28,00:01:33.69,00:01:44.59,Anna-Lena Drafke,"Und deswegen weil wir aufs Schiff gehen, oder aufs Boot in dem Fall, müssen wir uns BGA anziehen. Das ist BGA. BGA ist blau.",
