Episode,Start Timecode,End Timecode,Speaker,Transcript,Notes
47,00:00:12.45,00:00:28.11,Obermaat Scholwin,"Ja, wir gehen heute das erste Mal ins AGSHP, das heißt in den Schießsimulator. Wir werden ähm die Rekruten abprüfen mit dem G36 und der P8, wie sie dann ihre Schieß-Fähigkeiten sind und dementsprechend werden wir entscheiden, ob sie wirklich zum scharfen Schuss zugelassen werden oder nicht.",
47,00:00:28.71,00:00:38.49,Hauptbootsmann Mahr,"Also schwerpunktmäßig früher hat man mal hauptsächlich darauf geachtet, auf das Nachhalten, also Schießtechnik, Nachhalten und und und. Ansonsten allgemein Schießsicherheit, dass das alles passt sicheres Handling mit den Waffen.",
47,00:00:53.48,00:01:00.68,Obermaat Scholwin,"Falls sie nen Fehler machen, grobe Sicherheitsverstöße etc. werden sie den Raum verlassen und werden nicht zu schießen zugelassen. Das sollte Ihnen allen bewusst sein.",
47,00:01:02.48,00:01:14.15,Leon von Garrel,"Ja. Wir sind jetzt im AGSHP. Also im Schießsimulator und ja haben heute unser simuliertes Schießen für die Schießbahn nächste Woche, für den scharfen Schuss dann. Alle so ein bisschen aufgeregt. Weil, geht jetzt auch ein bisschen was.",
47,00:01:14.15,00:01:29.80,Jerome Demelius,"Wenn ich ehrlich bin, bin ich auch ein bisschen aufgeregt. Ich hoffe, ich schaff das alles und krieg dann auch mal meine Zulassung für die Schießbahn.",
47,00:01:31.52,00:01:45.31,Hauptbootsmann Mahr,"Also die erste Übung. G36, GL1. Die Grundlagen Übung 1 und 5 Treffer 4 in einer 15 Zentimeter Kreis um die Teil-Übung Bravo zu bestehen. Mehr ist es nicht.",
47,00:01:47.28,00:01:57.63,Jerome Demelius,"Man grad hier wie gesagt Schieß-Simulator und äh haben die ersten Übungen vorgeschossen bekommen, alles erklärt bekommen, was wir zu tun haben, worauf wir zu achten haben.",
47,00:02:01.20,00:02:02.52,Unbekannter Ausbilder,Der Lauf liegt hier auf.,
47,00:02:04.26,00:02:07.47,Hauptbootsmann Mahr,Bahn eins und zwo klar zum Gefecht. ,
47,00:02:07.56,00:02:09.93,Unbekannter Rekrut,Klar zum Gefecht. ,
47,00:02:09.93,00:02:11.67,Obermaat Scholwin,3 und 4 klar zum Gefecht.,
47,00:02:15.00,00:02:21.83,Unbekannter Ausbilder,"Jawohl, hast bestanden.",
47,00:02:24.90,00:02:28.38,Leon von Garrel,Ah! Und die X waren alle im Schwarz bei mir also es war okay.,
47,00:02:29.64,00:02:36.84,Matrose Martin,"Einfach nur Zeit lassen, richtig atmen und langsam abdrücken, weil sonst verreiste das Gewehr und dieses Nachhalten ist wichtig und darauf legen die echt wert darin.",
47,00:02:37.08,00:02:42.03,Dominik Möning,Manchmal kommt es anders wie erhofft. Mal schauen. In ein paar Minuten sind wir schlauer.,
47,00:02:43.42,00:02:47.46,Unbekannter Ausbilder,Ja bei allen 4 verschossen. ,
47,00:02:47.46,00:02:48.15,Hauptbootsmann Mahr,Patronenlager haben sie die Hand drauf.,
47,00:02:56.30,00:03:05.52,Dominik Möning,"Ich war selber so ein bisschen überrascht. Weil ich ging jetzt gerade nur um Hauptbootsmann vorbei, er guckte mich nur an und machte so. Kann eigentlich ja nur was gutes Gutes, wa.",
47,00:03:05.82,00:03:07.99,Matrosin Schang,"Wer nicht trifft, dann ...",
47,00:03:07.99,00:03:09.63,Anna-Lena Drafke,Ist man durchgefallen.,
47,00:03:09.63,00:03:09.63,Matrosin Schang,Ist man durchgefallen.,
47,00:03:09.93,00:03:11.40,Anna-Lena Drafke,Jetzt steigt die Nervosität.,
47,00:03:11.70,00:03:18.23,Matrosin Schang,"Das ist aber normal. Glauben ich. Ich glaub jetzt nicht, dass alle da so locker easy reingehen.",
47,00:03:19.03,00:03:24.37,Obermaat Scholwin,"10er Ringscheibe, 5 mal ein Einzelschuss. Feuer.",
47,00:03:26.40,00:03:28.98,Hauptbootsmann Mahr,Es liegt schon wieder auf dem Magazin auf.,
47,00:03:29.43,00:03:32.21,Obermaat Scholwin,"Denken Sie an die Atmung, denken Sie an das Nachhalten.",
47,00:03:32.86,00:03:39.42,Hauptbootsmann Mahr,"Schön Nachhalten, so muss das sein. Ablegen. Übung bestanden. ",
47,00:03:39.42,00:03:41.69,Hauptbootsmann Mahr,1 bis 4 Stellung räumen.,
47,00:03:43.74,00:03:49.86,Matrosin Schang,"Ich will ja nicht wissen, wie wo meine Kreuze überall waren. ",
47,00:03:50.22,00:03:57.59,Hauptbootsmann Peterson,"Alles gut. Eben gerade brauchen sie nen 15 Zentimeter großen Streukreis, ne. Sie haben sieben Zentimeter geschossen gerade.",
47,00:03:58.02,00:03:59.14,Anna-Lena Drafke,Ich habe das erste verkackt.,
47,00:03:59.94,00:04:11.85,Hauptbootsmann Peterson,"Sie hat sechs Zentimeter geschossen noch enger zusammen. Eben gerade, die letzte Übung sechs Zentimeter Streukreis von 15, die Sie brauchen. Also enger geht's fast gar nicht mehr. Er hat elf Zentimeter.",
47,00:04:12.48,00:04:13.94,Anna-Lena Drafke,Also waren wir gut? ,
47,00:04:13.94,00:04:15.27,Hauptbootsmann Peterson,"Ja, sag ich ja, ist alles gut.",
47,00:04:15.30,00:04:22.02,Anna-Lena Drafke,"Also ich bin jetzt definitiv ein wenig erleichtert. Ich habe jetzt auch nicht mehr so viel Angst. Ich kann, ich muss vor Lachen, man.",
47,00:04:22.38,00:04:42.84,Hauptbootsmann Mahr,"Das Pflichtprogramm, was wir schießen müssen, um zum scharfen Schuss zugelassen zu werden für den AP1, also für die Grundausbildung, ist erfüllt. Jetzt habe ich noch mal abgewandelt, weil ich die Zeit gern nutzen möchte. Eine Kombination, also ne Art Sonderübungen, ne Kombination aus der Nahbereich Übungen 1, 4 und 1, 5, wo die einmal noch üben das Bekämpfen von mehrfach Zielen und Reaktion bei nicht Wirkung.",
47,00:04:43.32,00:05:07.87,Hauptbootsmann Mahr,"Ich möchte, dass wir hier die Zeit nutzen, die wir noch haben. Deswegen wird jetzt jeder schießen aus der Patrouillenstellung. Bekämpfung von mehrfach Zielen",
47,00:05:11.69,00:05:38.93,Obermaat Scholwin,"Was wir gemacht haben, das wurde ja schon angesagt, dass wir quasi den Bonus noch geben, dass sie ihre Schiesssicherheit ja noch ein bisschen festigen können. Deswegen haben wir auch die Verwirrung noch ein bisschen reingebracht, die wir gerade eben gemacht haben, um einfach sie an ihrem Ablauf, den sie machen sollen, zu stören, damit sie ihre Festigkeit definitiv weiter reinholen können. Aber so im Großen und Ganzen war alles gut. ",
47,00:05:38.93,00:05:43.34,Marvin Baunach,"So, der simulierte scharfe Schuss ist rum. Jetzt haben wir es geschafft.",
47,00:05:43.60,00:05:45.65,Jerome Demelius,"Auf jeden Fall war gut, aber auch anstrengend.",
47,00:05:45.80,00:05:47.95,Marvin Baunach,Alle sind durchgekommen. Das ist das Wichtigste.,
47,00:05:47.96,00:05:51.32,Jerome Demelius,"Auf jeden Fall. Ich habe gerade vergessen, wo müssen die vorbei gucken?",
47,00:05:51.32,00:05:53.75,Marvin Baunach,"Bei YouTube, Facebook, Instagram,",
47,00:05:54.68,00:05:55.91,Jerome Demelius,Und Snapchat! ,
47,00:05:55.91,00:05:55.91,Marvin Baunach,Snapchat.,
47,00:05:56.39,00:06:00.06,Jerome Demelius,Bis dahin erst mal alles Gute und wir sehen uns im nächsten Video. Haut rein. ,
47,00:06:00.06,00:06:00.06,Marvin Baunach,Peace out.,
