Episode,Start Timecode,End Timecode,Speaker,Transcript,Notes
42,00:00:13.03,00:00:20.23,Oberbootsmann Quenzel,"Ja, wir fangen heute an mit der HWS Ausbildung, mit der Handwaffen-Schiess-Ausbildung, das heißt, heute werden die Rekruten mit den Waffen arbeiten.",
42,00:00:20.47,00:00:24.10,Oberbootsmann Quenzel,Wir fangen aber heute erst mal mit den Basics. Sie sollen heute erst mal damit umgehen können.,
42,00:00:27.21,00:00:50.97,Obermaat Scholwin,"Ja, ich bereite jetzt gerade vor, einmal für die Handwaffenschiessausbildung die ganze Materialien, die die Rekruten nachher empfangen werden dazu quasi Vorbereitung Holster Magazintaschen Magazine die Gruppe wird durchführen ähm die Ausbildung am Gewehr G36.",
42,00:00:54.35,00:00:56.15,Stabs­gefreiter Neubert,Vor der Waffenkammer antreten.,
42,00:01:02.22,00:01:06.45,Obermaat Scholwin,Hinter die rote Linie. Hallo?!,
42,00:01:14.33,00:01:22.75,Patrick Döring,"Die ersten müssen jetzt draußen antreten und die Waffe entsichern, um sicher zu gehen, dass da keine Patrone drin ist.",
42,00:01:22.75,00:01:29.27,Dominik Mönig,"Es sollte schon jeder auf jeden Fall hundertprozentig wissen, was er mit seiner Waffe machen kann und wozu die äh da ist.",
42,00:01:32.93,00:01:48.98,Stabs­gefreiter Neubert,"Ich werde den Schiessausbilder unterstützen, bei seine Ausbildung mit dem Obermaat Scholwin zusammen. Der Schiessausbilder wird die Sachen alle vormachen, erklären und wir werden dann quasi bei den Rekruten sein und gucken, dass wir die Handhabung raufkriegen.",
42,00:01:49.62,00:01:53.78,Obermaat Scholwin,Sie gehen jetzt mit der Spitze ihrer Isomatte auf die Fuß Höhe des Kameraden.,
42,00:01:57.53,00:02:13.15,Oberbootsmann Quenzel,"So Kameraden, einmal Aufmerksamkeit zu mir, ich werde heute mit Ihnen diese HWS Ausbildung durchführen. Richten Sie die Waffe nicht auf einen Menschen. Sollte da zufällig grad jemand im Bild stehen, einfach leicht versetzt eintreten. Jeder weiß darüber Bescheid. Ja. ",
42,00:02:13.15,00:02:26.03,Marcel Figule,"Wie gesagt, das mit dem Mündungsbewusstsein ist nicht allzu schwer. Man muss halt immer nur daran denken. Alles das, was ich im Auge sehen kann. Oder ich weiß. Jetzt steht jemand neben mir, dann halte ich die Waffe nicht so, sondern einfach so.",
42,00:02:26.03,00:02:39.26,Kevin-Jack Baumann,"Ich weiß nicht, ob ich jetzt die AGA wiederholen muss oder ob ich die jetzt doch bestehen könnte, weil ich heute um elf gekommen bin und gestern Probleme hatte her zu kommen. Und jetzt muss ich sie vielleicht wiederholen.",
