Episode,Start Timecode,End Timecode,Speaker,Transcript,Notes
41,00:00:12.79,00:00:19.97,Julia Weißhuhn,Äh. Wir stehen jetzt hier auf diesem wunderschönen Platz ähm und gleich geht es los mit unserer Vereidigung.,
41,00:00:27.74,00:00:38.48,Kevin-Jack Baumann,"Ich muss gestehen, so langsam werde auch ich mal ein bisschen nervös, ähm hoffe einfach, dass ich mich nicht vertrete, dass die anderen sich nicht vertreten und das es alles reibungslos verläuft.",
41,00:00:38.79,00:00:47.36,Jerome Demelius,"Also man geht noch mal alles durch im Kopf damit man auch nicht äh jeden Fehler macht, weil heute Fehler zu haben. Glaube kommt nicht gut. ",
41,00:00:47.36,00:00:47.36,Matrose Martin,Antreten.,
41,00:00:49.38,00:00:50.72,Julia Weißhuhn,Die Nervosität steigt.,
41,00:00:54.66,00:00:56.53,Stabsbootsmann Martens-Ziems,Stillgestanden. ,
41,00:00:56.53,00:00:59.59,Hauptbootsmann Peterson,So. Wir haben Zeit richten sie sich ordentlich aus. Füllen Sie die Lücken.,
41,00:01:03.17,00:01:09.08,Ober­boots­mann Sowa,Sollte ne gute Formation sein. Also oft genug geübt haben wir es jetzt also mehr Chancen gibts nicht. Muss man noch ein Stück rücken? ,
41,00:01:09.08,00:01:12.91,Stabsbootsmann Martens-Ziems,Augen gerade aus. Neunte und Zehnte Inspektion rührt euch.,
41,00:01:18.36,00:01:34.53,Dominik Mönig,"Klar, man geht jetzt alles so ein bisschen im Kopf durch. Von der Generalprobe und so. Was den groben Ablauf, den kennt man ja noch und das alles versucht keine Fehler zu machen. Es fällt auf jeden Fall auf, egal wer es macht.",
41,00:01:34.74,00:01:40.92,Daniel Wittwer,Mir geht es auch gut. Ich hab vorhin noch was gegessen und getrunken alles gut. Jetzt kann es losgehen. ,
41,00:01:40.92,00:02:17.91,Stabsbootsmann Martens-Ziems,Marsch.,
41,00:02:29.21,00:02:38.58,Unbekannter Sprecher,"Herzlich willkommen, sie liebe Rekrutinnen und Rekruten sind dem Ruf des Meeres gefolgt. ",
41,00:02:46.38,00:03:07.35,Unbekannter Sprecher,"Welcher Ort ist für ein feierliches Gelöbnis in der deutschen Marine besser geeignet als Stralsund? Liebe Rekrutinnen und Rekruten mit dem Eid oder Gelöbnis der Bundesrepublik Deutschland treu zu dienen und das Recht und die Freiheit des deutschen Volkes tapfer zu verteidigen, Bekennen Sie sich heute zur herausgehobener, besonderer Verantwortung.",
41,00:03:07.86,00:03:18.75,Unbekannter Sprecher,"In diesem Sinne wünsche ich Ihnen, liebe Soldatinnen und Soldaten, bei den Herausforderungen, die nun auf Sie warten Alles Gute und stets eine gesunde, glückliche Heimkehr in sicheren Hafen.",
41,00:03:30.93,00:03:34.28,Unbekannter Sprecher,Heben Sie die rechte Hand und sprechen Sie mir nach.,
41,00:03:35.72,00:03:37.13,Alle,Ich schwöre. ,
41,00:03:37.13,00:03:40.19,Unbekannter Sprecher,"Freiwillig Wehrdienstleistende, sprechen Sie mir nach. Ich gelobe. ",
41,00:03:40.19,00:03:40.88,Alle,Ich gelobe. ,
41,00:03:41.11,00:04:25.89,Alle,Der Bundesrepublik treu zu dienen und das Recht und die Freiheit des deutschen Volkes tapfer zu verteidigen. So wahr mir Gott helfe. Einigkeit und Recht und Freiheit für das Deutsche Vaterland. Blüht im Glanze dieses Glückes für das Deutsche Vaterland.,
41,00:04:45.69,00:04:55.01,Dominik Mönig,"Jo, jetzt haben wir alles geschafft. Alles wunderbar, ist nichts schief gelaufen, glaube ich. Ja, ich meine, ich konnte wenig hinter mich gucken davon ab, aber ich glaube, so weit ist alles ganz gut gelaufen. Auf jeden Fall. ",
41,00:04:55.01,00:04:57.95,Jerome Demelius,"War cool. Beine tun weh, aber war geil.",
41,00:04:59.82,00:05:16.43,Lukas Keitel,"Es waren auf jeden Fall Gänsehaut Momente. Einmal war das, wo wir das Gelöbnis danach gesprochen haben. Da habe ich Gänsehaut bekommen. Und dann, als wir alle zusammen die Nationalhymne gesungen haben und es hat auch besser klappt als. Sonst so. Das war, war schon geil, ja.",
41,00:05:16.81,00:05:19.61,Anna-Lena Drafke,"Ja, natürlich bin ich glücklich. Ich bin immerhin nicht nach hinten umgefallen.",
41,00:05:19.85,00:05:30.02,Lukas Keitel,"Auch der Moment hinterher. Und die ganzen Kameraden, wenn man die zu den ganzen Kameraden geht. Also eh alles Gute. Gratulation! Also das ist der Moment. Der war auch klasse.",
41,00:05:31.04,00:05:47.12,Dominik Mönig,"Ja, das ist so im Endeffekt die nächste Stufe. Die Vereidigung ist vorbei und man trägt es mit Stolz. So. Man, man weiß, man wurde jetzt vereidigt und ab da denkt man trotzdem noch mal ein bisschen intensiver drüber nach. Man ist eine Vorzeige Person und ja das muss man auch sein.",
41,00:05:47.27,00:06:07.46,Dominik Mönig,"So, das war die Vereidigung heute. Heute haben wir es alle geschafft. Wunderbar ist es gelaufen. Das Wetter hat auch mitgespielt. Von uns ist keiner umgekippt. Die Formation hat super gestanden. Fandens alle mega interessant. Auf jeden Fall war eine richtig geile Show gewesen und ich wäre gerne noch mal dabei. Aber einmal reicht auch. Von daher.",
41,00:06:08.00,00:06:16.70,Dominik Mönig,"Falls Sie uns weiterhin sehen wollt, besucht uns auf www die Rekruten DE. Vergesst Social Media nicht. Instagram, YouTube und Snapchat. Tschau, Tschüss, good bye.",
