Episode,Start Timecode,End Timecode,Speaker,Transcript,Notes
46,00:00:12.70,00:00:20.11,Oberbootsmann Müller,"Wir werden gleich rüber verlegen ins Unterrichtsgebäude, wir haben da den Leistungsnachweis Schiffssicherung schreiben 45 Minuten 20 Fragen.",
46,00:00:20.14,00:00:31.72,Hauptbootsmann Peterson,"Wenn sie dann zum Ersten Mal an Bord kommen, müssen sie ja wissen, wo hinten und vorne ist und was sie zu tun haben, wenn was passiert. Der Test kann nicht wiederholt werden. Also das ist ein Test, der heute geschrieben werden muss. Wenn der Test nicht bestanden wird, hat man die Grundausbildung nicht bestanden.",
46,00:00:33.04,00:00:44.50,Oberbootsmann Müller,"Willkommen Leistungsnachweis Schiffssicherung. Sie brauchen mich nicht fragen, ob die Antwort richtig ist oder ungefähr passt oder wie auch immer. 45 Minuten. Viel Glück.",
46,00:01:12.33,00:01:15.03,Oberbootsmann Müller,Aber es bringt auch nichts.,
46,00:01:16.74,00:01:18.86,Jerome Demelius,"So wahr mir Gott helfe, habe ich geschworen.",
46,00:01:19.41,00:01:34.22,Oberbootsmann Müller,"Zeit ist um. Abgabe. Fragen Sie mich nächste Woche nicht, wie weit ich damit bin, wenn ich fertig bin, werden Sie dementsprechend die Ergebnisse bekommen.",
46,00:01:34.52,00:01:37.70,Matrose Martin,"Ich habe gelernt, ich habe das soweit alles ausgefüllt. Super Gefühl.",
46,00:01:38.07,00:01:45.38,Jerome Demelius,"Also wenn das ist richtig ist, was ich geschrieben habe, müsste ich bei 65 bis 70 Punkten liegen.",
46,00:01:45.47,00:01:48.08,Dominik Möning,Das sind auf jeden Fall über 50 prozent. Das muss reichen.,
46,00:01:48.20,00:01:53.66,Kevin-Jack Baumann,Wir haben ja die letzten Tage nur gelernt. Aber ich konnte trotzdem nicht alles. ,
46,00:01:53.66,00:01:55.97,Lukas Keitel,"Bei mir war's nicht ganz so cool, hätte besser laufen können.",
46,00:01:56.84,00:02:01.22,Marcel Figule,"Ich habe mich gut vorbereitet. 50 Karteikarten, davon konnte ich 49 und eine nicht.",
46,00:02:02.27,00:02:12.77,Oberbootsmann Sowa,"Also Matrose Weißhuhn ist jetzt mehrere Tage krank geschrieben. Verpasst halt Stunden, die sie braucht, um diese Grundausbildung zu bestehen und deswegen wird sie diese leider nicht bestehen und durchfallen und eventuell nochmal neu beginnen.",
46,00:02:13.04,00:02:17.06,Oberbootsmann Sowa,Man muss von vorne komplett wieder mitmachen. Erster Tag ganz normal wieder anreisen. Und Fertig.,
46,00:02:18.08,00:02:25.73,Stabsgefreiter Neubert,"Ja, wir werden jetzt einen Waffenparcour machen, da werden noch mal die Waffenfertigkeiten ein bisschen überprüft. Zerlegen und zusammensetzen, auch ein bisschen unter Stressbedingungen.",
46,00:02:25.73,00:02:36.62,Hauptbootsmann Mahr,"Zur ersten Station wie Kletten, niedrigste Gangart. So wie Sie die Waffen vorfinden, machen Sie genau das Gegenteil. Es bedeutet hier zerlegen. Soweit klar?",
46,00:02:36.87,00:02:37.78,Alle,Jawohl. ,
46,00:02:37.78,00:03:04.68,Hauptbootsmann Mahr,"Dann zur nächsten Station. P8 zerlegen. Wenn zerlegt 5 Liegestütze. Zur nächsten Station gleiten zusammensetzen, beide Waffe. Hier die letzte Station, hier wird NSAK abgeprüft. Wenn Sie entlassen sind, um die Pylone einen Kanister schnappen, ab ans Ende laufen, Fragen?",
46,00:03:05.01,00:03:07.14,Marvin Baunach,Teilen wir das fair auf mit den Teams?,
46,00:03:07.17,00:03:10.38,Hauptbootsmann Peterson,Was heißt hier fair? Sind doch alle gleich gut. Vorne einmal.,
46,00:03:10.91,00:03:11.85,Matrosin Schang,Oh mein Gott!,
46,00:03:13.02,00:03:19.89,Hauptbootsmann Mahr,"Aufgrund der Tatsache, dass einige mit den dienstlichen Handschuhen immer noch Probleme haben bei der P8 alle Handschuhe aus.",
